,show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,streaming_service,score,imdbid,genre
9816,s6708,Movie,Netflix vs. the World,Shawn Cauthen,"Derek Cecil, Kevin Costner, Alfonso Cuaron, Antoine Fuqua, Woody Harrelson",,,2020,13+,105 min,"Documentary, Special Interest","Two decades before there was a streaming war, a tiny, broke Silicon Valley company that rented DVDs by mail laid the foundation for a revolution in how the world watches entertainment today.",amazon_prime,24.0,tt8407418,Documentary
9824,s6716,Movie,First Signal,Mark Lund,"Paul Noonan, Conor Timmis, Wendy Hartman, Patience McStravick, Stephanie Eaton",,,2021,13+,103 min,Science Fiction,When Air Force Space Command receives a signal from an alien satellite in Earth orbit an emergency meeting with the President reveals a government conspiracy.,amazon_prime,16.0,tt7851428,Science Fiction
9825,s6717,Movie,Come Morning,Derrick Sims,"Michael Ray Davis, Thor Wahlestedt, Elise Rovinsky, Blake Logan, Maurice Mejia, Dean Denton, Thomas Moore, Richard Ledbetter, Joel Gray, Jeremy Holden",,,2011,16+,76 min,"Arthouse, Drama","Set in rural Arkansas in 1973, Come Morning is the tragic story of Frank and his 10-year-old grandson and the hunting accident that forever changes their lives.",amazon_prime,16.0,tt2016168,Arthouse
9826,s6718,Movie,A Cowgirl's Story,Timothy Armstrong,Bailee Madison,,,2017,PG,98 min,"Comedy, Drama",Dusty Rhodes (Bailee Madison) & her grandfather (Pat Boone) rely on their faith & each other while her parents serve in the Afghanistan War.,amazon_prime,27.0,tt5704912,Comedy
9828,s6720,Movie,White God,Kornél Mundruczó,"Zsófia Psotta, Luke & Body, Sándor Zsótér, Szabolcs Thuróczy, Lili Monori, László Gálffi, Lili Horváth",,,2015,R,121 min,"Drama, Horror","Lili is forced to give up her dog Hagen because its mixed-breed is deemed ""unfit"" by The State. She and the dog begin a journey back to each other, while all of the ""unfit"" dogs rise up under a new leader, Hagen.",amazon_prime,74.0,tt2844798,Drama
9838,s6730,Movie,Straight Edge Kegger,Jason Zink,"Cory Kays, Sean Jones, Evey Reidy, Julio Alexander",,,2019,NR,78 min,"Horror, Suspense","After he his straight edge friends go too far, a young punk decides to leave them behind for a house party, but its short lived after masked intruders begin making sure no one gets out alive.",amazon_prime,9.0,tt7608380,Horror
9839,s6731,Movie,Starfish,Bill Clark,"Joanne Froggatt, Tom Riley, Ellie Copping, Michelle Dotrice, Phoebe Nicholls",,,2020,16+,95 min,"Drama, Romance",Tom has a perfect life until a devastating illness strikes. This is a story of the survival of love against all odds.,amazon_prime,63.0,tt5700182,Drama
9843,s6735,Movie,Results,Andrew Bujalski,"Guy Pearce, Cobie Smulders, Kevin Corrigan, Giovanni Ribisi, Anthony Michael Hall, Brooklyn Decker, Constance Zimmer",,,2015,R,105 min,Comedy,"Divorced, rich, and utterly miserable, Danny [Kevin Corrigan] goes to the local gym, where he meets guru/owner Trevor [Guy Pearce] and irresistibly caustic trainer Kat [Cobie Smulders]. Their three lives are knotted, both professional and personally.",amazon_prime,61.0,tt3824412,Comedy
9846,s6738,Movie,Ms. White Light,Paul Shoulberg,"Roberta Colindrez, Zachary Spicer, John Ortiz, Judith Light",,,2020,16+,95 min,"Comedy, Drama","Lex Cordova, is a young woman who counsels terminally ill clients that have trouble letting go. While proving uniquely talented in her ability to connect with the dying, Lex is at a total loss when it comes to dealing with everyone else.",amazon_prime,21.0,tt4073936,Comedy
9847,s6739,Movie,Monsters of Man,Mark Toia,"Neal McDonough, Brett Tutor, Jose Rosete, David Haverty, Paul Haapaniemi",,,2020,16+,132 min,"Action, Science Fiction","A robotics company teams up with a corrupt CIA agent undergoing an illegal, unsanctioned military operation. Dropping four prototype robots into a suspected drug manufacturing camp in the Golden triangle that no one will miss. Six doctors on a good cause witness the brutal slaughter of an innocent village and are forced into a deadly game of cat and mouse as they become the new targets.",amazon_prime,54.0,tt6456326,Action
9850,s6742,Movie,Jolt,Tanya Wexler,"KATE BECKINSALE, JAI COURTNEY, STANLEY TUCCI, BOBBY CANNAVALE, LAVERNE COX, CONSTANTINE GREGORY, ORI PFEFFER, DAVID BRADLEY, SUSAN SARANDON, LEWIS BRAYNATHAN, COOPER JOSEPH GROGAN, SOPHIE SANDERSON, STEVEN OSBORNE, TOM XANDER, EVAN SHARP, SAVVY CLEMENT, SIMON BULLOK, HARRY ANICHKIN, BRAYDEN PINDUR, LILI RICH, CHLOE RAHAL, CHLOE SARBIB, MARA CHAPANOVA, JAMES GROGAN, ADAM BRASHAW, CHRISTIAN BRASSINGTON, VASIL YORDANOV, EUGENE BUICA, JENNIFER SNODGRASS, GENADIY GANCHEV",,,2021,R,91 min,Action,"A bouncer with a slightly murderous anger-management problem that she controls with the help of an electrode-lined vest she uses to shock herself back to normalcy whenever she gets homicidal. After the first guy she's ever fallen for is murdered, she goes on a revenge-fueled rampage to find the killer while the cops pursue her as their chief suspect.",amazon_prime,51.0,tt10228134,Action
9852,s6744,Movie,How I Live Now,Kevin Macdonald,"Saoirse Ronan, George MacKay, Tom Holland, Harley Bird, Anna Chancellor",,,2013,R,101 min,"Drama, Romance, Suspense","Set in the near-future UK, Saoirse Ronan plays Daisy, an American teenager sent to stay with relatives in the English countryside. Initially withdrawn and alienated, she begins to warm up to her charming surroundings and strikes up a romance with the handsome Edmund (George MacKay). But on the fringes of their idyllic summer days are tense news reports of an escalating conflict in Europe. As the UK falls into a violent, chaotic military state, Daisy finds herself hiding and fighting to survive.",amazon_prime,63.0,tt1894476,Drama
9859,s6751,Movie,Daniel Isn't Real,Adam Egypt Mortimer,"Patrick Schwarzenegger, Miles Robbins, Sasha Lane, Mary Stuart Masterson, Hannah Marks",,,2019,18+,100 min,"Horror, Suspense","Traumatized 8-year old Luke invents an imaginary friend named Daniel who leads them both into a world of fantasy and imagination. After Daniel tricks Luke into doing something terrible, Luke is forced to lock him away. Twelve years later, Luke brings Daniel back – and he now appears as a charming, manipulative young man with a terrifying secret agenda.",amazon_prime,62.0,tt8745960,Horror
9860,s6752,Movie,Curse of Aurore,Mehran C. Torgoley,"Llana Barron, Lex Wilson, Jordan Kaplan, Agathe Salzmann, Casey Nolan, Roxane Delisle, Mike D. Smith",,,2021,18+,90 min,"Drama, Horror","A ""Dark Web"" thumb drive reveals footage of three American filmmakers in rural Quebec researching a historic child murder case. After witnessing several disturbing paranormal occurrences, they attempt to communicate with the spirit of the child.",amazon_prime,28.0,tt12711968,Drama
9867,s6759,Movie,Thunderbird 6,David Lane,"Peter Dyneley, Sylvia Anderson, Shane Rimmer, Jeremy Wilkin, Matt Zimmerman, David Graham",,,1968,G,89 min,Animation,"Those world-famous electronic puppets The International Rescue Team are back with excitement, mystery and thrills ahead after they are faced with a plot to steal their fabulous fleet of rescue planes.",amazon_prime,30.0,tt0063694,Animation
9879,s6771,Movie,Ms. Purple,Justin Chon,"Jake Choi, Courtney Bandeko",,,2019,16+,87 min,"Action, Drama",A young woman who works as a karaoke hostess in Koreatown reconnects with her estranged brother in the final days of their father's life.,amazon_prime,70.0,tt7983890,Action
9894,s6786,Movie,A Sunburnt Christmas,Christiaan Van Vuuren,"Daniel Henshall, Sullivan Stapleton",,,2021,13+,91 min,Comedy,"On an outback farm ravaged by drought, the lives of a struggling family are upended when a runaway criminal dressed as Santa Claus crashes onto their property and a wily teenager seizes the opportunity to save the farm and put her fractured family back together.",amazon_prime,18.0,tt13409094,Comedy
9900,s6792,Movie,The Opposite of Sex,Don Roos,"Christina Ricci, Lisa Kudrow, Johnny Galecki, Martin Donovan, William Lee, Lyle Lovett, Ivan Sergei",,,1998,R,101 min,Comedy,"She's a smart-assed, foul-mouthed tramp who can wrap just about anyone around her finger. She steals dead people's ashes and sleeps with gay hunks and religious fanatics with equal indifference. She's Dedee Truitt (Christina Ricci) and she's not your typical sweet 16-year-old.",amazon_prime,67.0,tt0120777,Comedy
9902,s6794,Movie,The German Doctor,Lucía Puenzo,"Alex Brendemühl, Natalia Oreiro, Diego Peretti, Elena Roger, Guillermo Pfening, Florencia Bado",,,2014,PG-13,94 min,"Action, Drama, Suspense","Patagonia, 1960. A German doctor meets an Argentinean family and follows them on a long desert road to a small town where the family will be starting a new life. Eva, Enzo and their three children welcome the doctor into their home and entrust their young daughter, Lilith, to his care, not knowing that they are harboring one of the most dangerous criminals in the world.",amazon_prime,66.0,tt1847746,Action
9906,s6798,Movie,Piccadilly Jim,John McKay,"Sam Rockwell, Frances O' Conner, Tom Wilkinson",,,2004,16+,94 min,"Comedy, Drama","Set in the 1930s, an American with a scandalous reputation on both sides of the Atlantic must do an about-face in order to win back the woman of his dreams.",amazon_prime,21.0,tt0371878,Comedy
9908,s6800,Movie,M.O.M. Mothers of Monsters,Tucia Lyman,"Melinda Page Hamilton, Ed Asner, Bailey Edwards",,,2020,16+,99 min,"Horror, Suspense","A distraught mother suspects her teenage son is a psychopath who may shoot up his high school, but when he outsmarts the system, she is forced to take matters into her own hands.",amazon_prime,51.0,tt8186932,Horror
9909,s6801,Movie,Little John,Singeetam Srinivasa Rao,"Bentley Mitchum, Jyothika, Anupam Kher, Nassar, Prakash Raj",,,2001,ALL,122 min,"Drama, Science Fiction","When a visiting researcher tries desperately to escape, after mistakenly captured by police for an alleged theft in a temple, bizarre things start happening.",amazon_prime,15.0,tt0307101,Drama
9913,s6805,Movie,Hoodman,Mark W. Curran,"Madison Spear, Brock Morse, Jack James, Skye Roberts, Claire Montgomery",,,2021,16+,98 min,"Horror, Suspense",An urban legend haunts a small town as a troubled young woman (Madison Spear) seeks to find her missing child. A relentless detective (Brock Morse) pieces together clues that lead them both to a suspected killer (Jack James).,amazon_prime,14.0,tt14403632,Horror
9914,s6806,TV Show,Garth Marenghi's Darkplace,,"Richard Ayoade, Matthew Holness, Matt Berry, Alice Lowe",,,2004,18+,1 Season,Comedy,"Cult comedy written by and starring Matthew Holness and Richard Ayoade. Presented as a 1980's lost classic, Darkplace revolves around fictional horror author Garth Marenghi and his publisher Dean Learner. A maverick doctor battles with the evil forces lurking beneath a hospital in Romford, engaged in a desperate struggle against poor production values, awful dialogue and unrealistic violence...",amazon_prime,85.0,tt0397150,Comedy
9916,s6808,Movie,Debug,David Hewlett,"Jason Momoa, Tenika Davis, Adrian Holmes, Kjartan Hewitt",,,2015,18+,86 min,"Horror, Science Fiction","Deep space, six young hackers on a grueling work release program attempt to clear out debug, the computer systems of a massive derelict freighter. They quickly fall prey to the ship's artificial intelligence, a program that would kill to be human. As the fractious team is forced to match wits with this rogue program, they discover that the ship holds a deadly secret, and a fate worse than death.",amazon_prime,30.0,tt2769184,Horror
9918,s6810,Movie,Coming 2 America,Craig Brewer,"Eddie Murphy, Arsenio Hall, Jermaine Fowler, Leslie Jones, Tracy Morgan, Kiki Layne, Shari Headley, Wesley Snipes, James Earl Jones, John Amos, Teyana Taylor, Vanessa Bell Calloway, Paul Bates, Nomzamo Mbatha, Bella Murphy",,,2021,PG-13,109 min,Comedy,"Akeem and Semmi are back! Set in the lush and royal country of Zamunda, newly-crowned King Akeem (Eddie Murphy) and his trusted confidante Semmi (Arsenio Hall) embark on an all-new hilarious adventure that has them traversing the globe from their great African nation to the borough of Queens, New York – where it all began.",amazon_prime,52.0,tt6802400,Comedy
9919,s6811,Movie,Capone,Josh Trank,"Tom Hardy, Linda Cardellini, Matt Dillon, Kyle MacLachlan","Canada, United States",,2020,R,104 min,"Arts, Entertainment, and Culture, Drama, Suspense","A ruthless businessman and bootlegger who ruled Chicago with an iron fist, Al ""Fonzo"" Capone (Tom Hardy) was the most infamous and feared gangster of American lore. At the age of 47, following nearly a decade of imprisonment, dementia rots Capone's mind and his past becomes present as harrowing memories of his violent and brutal origins melt into his waking life.",amazon_prime,45.0,tt6199572,Arts
9921,s6813,Movie,100 Kilos,Rod S. Scott,"Glenn Plummer, Dwayne Adway, Mane Rich Andrew, Ski Carr, Carlos Carrasco, Wayne Collins, Sydney 'Big Dawg' Colston, Keno K. Deary, MC Eiht, Larry B. Scott, Nigel Thatch",,,2001,16+,88 min,"Action, Drama, Suspense","The rise and fall of the Freeway Boyz, These group of young men sold millions of dollars of drugs in the streets of South Central Los Angeles, and inadvertently financed a CIA private war in Nicaragua.",amazon_prime,12.0,tt0242586,Action
9923,s6815,Movie,The Stalker,John Giorgio,"Troy Fromin, Matthew Ewald, Jimmy Ace Lewis, J Gaven Wilde, Tristan Dye, Chad Ayers, Virginia Vogt",,,2020,16+,61 min,"Horror, Suspense","The man only known as the Stalker, is looking for the Hamilton's, and is willing to kill anyone who gets in his way. Embark on this horror, mystery, thrill ride, that takes you back to the classic horror films of the 80's.",amazon_prime,29.0,tt9363342,Horror
9926,s6818,Movie,Stolen Hours,Daniel Petri,,,,1963,7+,97 min,Drama,Susan Hayward stars as a rich Texas playgirl with no real ambition who meets a young Welsh doctor who sees the despair beneath her indifference – and the illness she's trying to hide.,amazon_prime,5.0,tt0057531,Drama
9928,s6820,Movie,Martin Lawrence Live: Runteldat,David Raynr,Martin Lawrence,,,2002,R,104 min,"Arts, Entertainment, and Culture, Comedy","Lawrence trains his sights on such explosive subjects as parenting, sex and smoking, and, in perhaps the film's most revealing and most powerful section, sets the record straight on his infamous brushes with the law.",amazon_prime,56.0,tt0327036,Arts
9931,s6823,Movie,Jamesy Boy,Trevor White,"Mary-Louise Parker, Ving Rhames, James Woods, Taissa Farmiga, Spencer Lofranco",,,2014,16+,110 min,"Action, Adventure, Drama",Rage-filled teenager James is never one to back down from a fight. He jumps at the chance to run drugs and guns for a gang and quickly ends up behind bars. He turns his life around in prison thanks to the unexpected friendship he forms with a convicted murderer.,amazon_prime,54.0,tt1673734,Action
9934,s6826,Movie,Camino,Josh C. Waller,"Zoë Bell, Nacho Vigalondo, Francisco Barreiro, Sheila Vand, Tenoch Huerta, Dominic Rains, Kevin Pollak",,,2016,18+,104 min,"Action, Suspense","In the jungles of Colombia, a photojournalist captures the truth behind a group of missionaries who may not be what they seem.",amazon_prime,24.0,tt4991652,Action
9936,s6828,Movie,At the Fork,John Papola,"John Papola, Lisa Versaci, Kim Sturla, Jayson Lusk, Temple Grandin, Malcolm DeKryger",United States,,2016,16+,95 min,"Documentary, Special Interest","Filmmaker and omnivore John Papola and his vegetarian wife Lisa give a timely, unbiased look at how farm animals are raised for consumption. With unprecedented access to large-scale conventional farms, Papola asks the tough questions behind every hamburger, glass of milk and baby-back rib.",amazon_prime,30.0,tt5726712,Documentary
